year_quarter (연분기),rep_id (담당자ID),rep_name (담당자명),territory_code (영업권역코드),brand (브랜드),amount_pre_share (쉐어전금액),amount_post_share (쉐어후금액),ship_count (출고건수),share_applied_count (룰적용건수),direct_rules_count (직접룰건수),extended_rules_count (연장룰건수),none_rules_count (미적용건수),data_quality_flag (데이터품질플래그)
2025-Q1,RC002,김수아,T01,트라젠타정,4624800.0,4624800.0,2,2,2,0,0,fail
2025-Q1,RC002,김수아,T01,플라빅스정,9072000.0,9072000.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,가브스정,68432364.0,68432364.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,글루코파지정,4069890.0,4069890.0,1,1,1,0,0,fail
2025-Q1,RC003,임동현,T01,네시나정,8365641.0,8365641.0,3,3,3,0,0,fail
2025-Q1,RC003,임동현,T01,넥시움정,19723756.0,19723756.0,5,5,5,0,0,fail
2025-Q1,RC003,임동현,T01,디아미크롱서방정,6258400.0,6258400.0,3,3,3,0,0,fail
2025-Q1,RC003,임동현,T01,로수젯정,51788718.0,51788718.0,6,6,6,0,0,fail
2025-Q1,RC003,임동현,T01,록소르정,3841800.0,3841800.0,3,3,3,0,0,fail
2025-Q1,RC003,임동현,T01,리피토정,4324047.0,4324047.0,1,1,1,0,0,fail
2025-Q1,RC003,임동현,T01,서스펜정,11120514.0,11120514.0,7,7,7,0,0,fail
2025-Q1,RC003,임동현,T01,세파클러캡슐,20564000.0,20564000.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,아모잘탄정,31189185.0,31189185.0,4,4,4,0,0,fail
2025-Q1,RC003,임동현,T01,아토르바정,4173759.0,4173759.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,아토젯정,22991022.0,22991022.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,엑스포지정,9549558.0,9549558.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,올메텍정,17882294.0,17882294.0,3,3,3,0,0,fail
2025-Q1,RC003,임동현,T01,자누비아정,5796000.0,5796000.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,카나브정,23841738.0,23841738.0,2,2,2,0,0,fail
2025-Q1,RC003,임동현,T01,타미플루캡슐,2008700.0,2008700.0,3,3,3,0,0,fail
2025-Q1,RC003,임동현,T01,트라젠타정,11261200.0,11261200.0,6,6,6,0,0,fail
2025-Q1,RC003,임동현,T01,플라빅스정,14238000.0,14238000.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,가브스정,2693400.0,2693400.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,글루코파지정,376000.0,376000.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,네시나정,63607681.0,63607681.0,5,5,5,0,0,fail
2025-Q1,RC004,장지훈,T01,넥시움정,11110110.0,11110110.0,3,3,3,0,0,fail
2025-Q1,RC004,장지훈,T01,디아미크롱서방정,21834400.0,21834400.0,4,4,4,0,0,fail
2025-Q1,RC004,장지훈,T01,로수젯정,19864104.0,19864104.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,록소르정,1914000.0,1914000.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,리피토정,27642843.0,27642843.0,8,8,8,0,0,fail
2025-Q1,RC004,장지훈,T01,서스펜정,1186800.0,1186800.0,1,1,1,0,0,fail
2025-Q1,RC004,장지훈,T01,세파클러캡슐,39770000.0,39770000.0,3,3,3,0,0,fail
2025-Q1,RC004,장지훈,T01,아모잘탄정,26694810.0,26694810.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,아토르바정,2303600.0,2303600.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,아토젯정,47894004.0,47894004.0,9,9,9,0,0,fail
2025-Q1,RC004,장지훈,T01,엑스포지정,26045841.0,26045841.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,자누비아정,43974000.0,43974000.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,카나브정,18056529.0,18056529.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,타미플루캡슐,2654200.0,2654200.0,2,2,2,0,0,fail
2025-Q1,RC004,장지훈,T01,트라젠타정,7595200.0,7595200.0,4,4,4,0,0,fail
2025-Q1,RC004,장지훈,T01,플라빅스정,19404000.0,19404000.0,1,1,1,0,0,fail
2025-Q1,RC005,윤보민,T01,가브스정,2696900.0,2696900.0,2,2,2,0,0,fail
2025-Q1,RC005,윤보민,T01,글루코파지정,14020705.0,14020705.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,네시나정,13016260.0,13016260.0,2,2,2,0,0,fail
2025-Q1,RC005,윤보민,T01,넥시움정,33960418.0,33960418.0,4,4,4,0,0,fail
2025-Q1,RC005,윤보민,T01,디아미크롱서방정,1678200.0,1678200.0,2,2,2,0,0,fail
2025-Q1,RC005,윤보민,T01,로수젯정,62526708.0,62526708.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,록소르정,4644400.0,4644400.0,2,2,2,0,0,fail
2025-Q1,RC005,윤보민,T01,리피토정,14922126.0,14922126.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,서스펜정,26751582.0,26751582.0,4,4,4,0,0,fail
2025-Q1,RC005,윤보민,T01,세파클러캡슐,23836800.0,23836800.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,아모잘탄정,26740836.0,26740836.0,4,4,4,0,0,fail
2025-Q1,RC005,윤보민,T01,아토르바정,5167136.0,5167136.0,4,4,4,0,0,fail
2025-Q1,RC005,윤보민,T01,아토젯정,4475025.0,4475025.0,1,1,1,0,0,fail
2025-Q1,RC005,윤보민,T01,엑스포지정,4813988.0,4813988.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,올메텍정,16185195.0,16185195.0,1,1,1,0,0,fail
2025-Q1,RC005,윤보민,T01,자누비아정,33136000.0,33136000.0,4,4,4,0,0,fail
2025-Q1,RC005,윤보민,T01,카나브정,6575700.0,6575700.0,7,7,7,0,0,fail
2025-Q1,RC005,윤보민,T01,타미플루캡슐,917700.0,917700.0,1,1,1,0,0,fail
2025-Q1,RC005,윤보민,T01,트라젠타정,1861200.0,1861200.0,3,3,3,0,0,fail
2025-Q1,RC005,윤보민,T01,플라빅스정,59346000.0,59346000.0,5,5,5,0,0,fail
2025-Q1,RC006,정재훈,T01,가브스정,8881518.0,8881518.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,글루코파지정,13097142.0,13097142.0,3,3,3,0,0,fail
2025-Q1,RC006,정재훈,T01,네시나정,33163986.0,33163986.0,3,3,3,0,0,fail
2025-Q1,RC006,정재훈,T01,넥시움정,31916316.0,31916316.0,3,3,3,0,0,fail
2025-Q1,RC006,정재훈,T01,디아미크롱서방정,8203400.0,8203400.0,5,5,5,0,0,fail
2025-Q1,RC006,정재훈,T01,로수젯정,24346200.0,24346200.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,록소르정,3102000.0,3102000.0,1,1,1,0,0,fail
2025-Q1,RC006,정재훈,T01,리피토정,31283328.0,31283328.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,서스펜정,7871877.0,7871877.0,1,1,1,0,0,fail
2025-Q1,RC006,정재훈,T01,세파클러캡슐,34629000.0,34629000.0,3,3,3,0,0,fail
2025-Q1,RC006,정재훈,T01,아모잘탄정,52675153.0,52675153.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,아토르바정,15750259.0,15750259.0,5,5,5,0,0,fail
2025-Q1,RC006,정재훈,T01,아토젯정,19084095.0,19084095.0,3,3,3,0,0,fail
2025-Q1,RC006,정재훈,T01,엑스포지정,21817473.0,21817473.0,2,2,2,0,0,fail
2025-Q1,RC006,정재훈,T01,올메텍정,12872528.0,12872528.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,자누비아정,137386000.0,137386000.0,5,5,5,0,0,fail
2025-Q1,RC006,정재훈,T01,카나브정,23508657.0,23508657.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,타미플루캡슐,2896300.0,2896300.0,2,2,2,0,0,fail
2025-Q1,RC006,정재훈,T01,트라젠타정,12050800.0,12050800.0,4,4,4,0,0,fail
2025-Q1,RC006,정재훈,T01,플라빅스정,36162000.0,36162000.0,2,2,2,0,0,fail
2025-Q1,RC007,최건우,T01,가브스정,1341000.0,1341000.0,1,1,1,0,0,fail
2025-Q1,RC007,최건우,T01,글루코파지정,21500517.0,21500517.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,네시나정,36662203.0,36662203.0,5,5,5,0,0,fail
2025-Q1,RC007,최건우,T01,넥시움정,41172188.0,41172188.0,6,6,6,0,0,fail
2025-Q1,RC007,최건우,T01,디아미크롱서방정,19262400.0,19262400.0,9,9,9,0,0,fail
2025-Q1,RC007,최건우,T01,로수젯정,29343651.0,29343651.0,3,3,3,0,0,fail
2025-Q1,RC007,최건우,T01,록소르정,4189800.0,4189800.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,리피토정,29696250.0,29696250.0,5,5,5,0,0,fail
2025-Q1,RC007,최건우,T01,서스펜정,4960146.0,4960146.0,3,3,3,0,0,fail
2025-Q1,RC007,최건우,T01,세파클러캡슐,25220000.0,25220000.0,2,2,2,0,0,fail
2025-Q1,RC007,최건우,T01,아모잘탄정,3833300.0,3833300.0,3,3,3,0,0,fail
2025-Q1,RC007,최건우,T01,아토르바정,15215419.0,15215419.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,아토젯정,73195803.0,73195803.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,엑스포지정,22550868.0,22550868.0,3,3,3,0,0,fail
2025-Q1,RC007,최건우,T01,올메텍정,1101100.0,1101100.0,1,1,1,0,0,fail
2025-Q1,RC007,최건우,T01,자누비아정,88168000.0,88168000.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,카나브정,15499053.0,15499053.0,3,3,3,0,0,fail
2025-Q1,RC007,최건우,T01,타미플루캡슐,4534700.0,4534700.0,2,2,2,0,0,fail
2025-Q1,RC007,최건우,T01,트라젠타정,9738400.0,9738400.0,4,4,4,0,0,fail
2025-Q1,RC007,최건우,T01,플라빅스정,45990000.0,45990000.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,가브스정,15984775.0,15984775.0,4,4,4,0,0,fail
2025-Q1,RC008,류예린,T01,글루코파지정,16621599.0,16621599.0,3,3,3,0,0,fail
2025-Q1,RC008,류예린,T01,네시나정,33810210.0,33810210.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,넥시움정,21095493.0,21095493.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,디아미크롱서방정,1945800.0,1945800.0,3,3,3,0,0,fail
2025-Q1,RC008,류예린,T01,록소르정,4139600.0,4139600.0,4,4,4,0,0,fail
2025-Q1,RC008,류예린,T01,서스펜정,2470200.0,2470200.0,3,3,3,0,0,fail
2025-Q1,RC008,류예린,T01,세파클러캡슐,6547800.0,6547800.0,3,3,3,0,0,fail
2025-Q1,RC008,류예린,T01,아모잘탄정,362500.0,362500.0,1,1,1,0,0,fail
2025-Q1,RC008,류예린,T01,아토르바정,4835973.0,4835973.0,3,3,3,0,0,fail
2025-Q1,RC008,류예린,T01,아토젯정,26480700.0,26480700.0,4,4,4,0,0,fail
2025-Q1,RC008,류예린,T01,엑스포지정,47519112.0,47519112.0,5,5,5,0,0,fail
2025-Q1,RC008,류예린,T01,올메텍정,14940180.0,14940180.0,1,1,1,0,0,fail
2025-Q1,RC008,류예린,T01,자누비아정,52398000.0,52398000.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,카나브정,2722500.0,2722500.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,타미플루캡슐,36999400.0,36999400.0,2,2,2,0,0,fail
2025-Q1,RC008,류예린,T01,트라젠타정,6711600.0,6711600.0,4,4,4,0,0,fail
2025-Q1,RC008,류예린,T01,플라빅스정,17514000.0,17514000.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,가브스정,1692009.0,1692009.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,네시나정,37191231.0,37191231.0,2,2,2,0,0,fail
2025-Q1,RC009,박재원,T01,넥시움정,1787600.0,1787600.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,디아미크롱서방정,2850000.0,2850000.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,로수젯정,74248374.0,74248374.0,3,3,3,0,0,fail
2025-Q1,RC009,박재원,T01,록소르정,4816000.0,4816000.0,2,2,2,0,0,fail
2025-Q1,RC009,박재원,T01,리피토정,15272166.0,15272166.0,2,2,2,0,0,fail
2025-Q1,RC009,박재원,T01,서스펜정,876300.0,876300.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,세파클러캡슐,19303000.0,19303000.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,아모잘탄정,3263976.0,3263976.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,아토르바정,1189000.0,1189000.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,아토젯정,12530070.0,12530070.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,엑스포지정,9764600.0,9764600.0,3,3,3,0,0,fail
2025-Q1,RC009,박재원,T01,올메텍정,1368500.0,1368500.0,1,1,1,0,0,fail
2025-Q1,RC009,박재원,T01,자누비아정,66996000.0,66996000.0,3,3,3,0,0,fail
2025-Q1,RC009,박재원,T01,카나브정,11057307.0,11057307.0,3,3,3,0,0,fail
2025-Q1,RC009,박재원,T01,타미플루캡슐,3145800.0,3145800.0,2,2,2,0,0,fail
2025-Q1,RC009,박재원,T01,트라젠타정,17220800.0,17220800.0,7,7,7,0,0,fail
2025-Q1,RC009,박재원,T01,플라빅스정,78876000.0,78876000.0,5,5,5,0,0,fail
2025-Q1,RC010,권승현,T02,가브스정,53947169.0,53947169.0,4,4,4,0,0,fail
2025-Q1,RC010,권승현,T02,글루코파지정,2392300.0,2392300.0,5,5,5,0,0,fail
2025-Q1,RC010,권승현,T02,네시나정,40270631.0,40270631.0,6,6,6,0,0,fail
2025-Q1,RC010,권승현,T02,넥시움정,29618419.0,29618419.0,8,8,8,0,0,fail
2025-Q1,RC010,권승현,T02,디아미크롱서방정,11782800.0,11782800.0,3,3,3,0,0,fail
2025-Q1,RC010,권승현,T02,로수젯정,5185800.0,5185800.0,2,2,2,0,0,fail
2025-Q1,RC010,권승현,T02,록소르정,2324200.0,2324200.0,3,3,3,0,0,fail
2025-Q1,RC010,권승현,T02,리피토정,7734924.0,7734924.0,5,5,5,0,0,fail
2025-Q1,RC010,권승현,T02,서스펜정,12113031.0,12113031.0,2,2,2,0,0,fail
2025-Q1,RC010,권승현,T02,아모잘탄정,34526088.0,34526088.0,5,5,5,0,0,fail
2025-Q1,RC010,권승현,T02,아토르바정,313200.0,313200.0,1,1,1,0,0,fail
2025-Q1,RC010,권승현,T02,아토젯정,21575484.0,21575484.0,3,3,3,0,0,fail
2025-Q1,RC010,권승현,T02,올메텍정,22614987.0,22614987.0,7,7,7,0,0,fail
2025-Q1,RC010,권승현,T02,자누비아정,2812000.0,2812000.0,1,1,1,0,0,fail
2025-Q1,RC010,권승현,T02,카나브정,17863248.0,17863248.0,5,5,5,0,0,fail
2025-Q1,RC010,권승현,T02,타미플루캡슐,14080700.0,14080700.0,2,2,2,0,0,fail
2025-Q1,RC010,권승현,T02,트라젠타정,8140400.0,8140400.0,3,3,3,0,0,fail
2025-Q1,RC010,권승현,T02,플라빅스정,72828000.0,72828000.0,5,5,5,0,0,fail
2025-Q1,RC011,이주원,T02,가브스정,58906110.0,58906110.0,3,3,3,0,0,fail
2025-Q1,RC011,이주원,T02,글루코파지정,7169820.0,7169820.0,2,2,2,0,0,fail
2025-Q1,RC011,이주원,T02,네시나정,8513533.0,8513533.0,2,2,2,0,0,fail
2025-Q1,RC011,이주원,T02,넥시움정,20534580.0,20534580.0,3,3,3,0,0,fail
2025-Q1,RC011,이주원,T02,디아미크롱서방정,20497400.0,20497400.0,7,7,7,0,0,fail
2025-Q1,RC011,이주원,T02,로수젯정,50424264.0,50424264.0,2,2,2,0,0,fail
2025-Q1,RC011,이주원,T02,록소르정,12986800.0,12986800.0,5,5,5,0,0,fail
2025-Q1,RC011,이주원,T02,리피토정,15035439.0,15035439.0,3,3,3,0,0,fail
2025-Q1,RC011,이주원,T02,서스펜정,12960717.0,12960717.0,2,2,2,0,0,fail
2025-Q1,RC011,이주원,T02,세파클러캡슐,17716400.0,17716400.0,3,3,3,0,0,fail
2025-Q1,RC011,이주원,T02,아모잘탄정,28423791.0,28423791.0,3,3,3,0,0,fail
2025-Q1,RC011,이주원,T02,아토르바정,328000.0,328000.0,1,1,1,0,0,fail
2025-Q1,RC011,이주원,T02,아토젯정,15931089.0,15931089.0,1,1,1,0,0,fail
2025-Q1,RC011,이주원,T02,엑스포지정,14265142.0,14265142.0,5,5,5,0,0,fail
2025-Q1,RC011,이주원,T02,올메텍정,12390960.0,12390960.0,6,6,6,0,0,fail
2025-Q1,RC011,이주원,T02,자누비아정,17840000.0,17840000.0,4,4,4,0,0,fail
2025-Q1,RC011,이주원,T02,카나브정,15833826.0,15833826.0,1,1,1,0,0,fail
2025-Q1,RC011,이주원,T02,타미플루캡슐,31375500.0,31375500.0,4,4,4,0,0,fail
2025-Q1,RC011,이주원,T02,트라젠타정,10810000.0,10810000.0,5,5,5,0,0,fail
2025-Q1,RC011,이주원,T02,플라빅스정,76986000.0,76986000.0,5,5,5,0,0,fail
2025-Q1,RC012,이서준,T02,가브스정,108232628.0,108232628.0,8,8,8,0,0,fail
2025-Q1,RC012,이서준,T02,글루코파지정,10736479.0,10736479.0,4,4,4,0,0,fail
2025-Q1,RC012,이서준,T02,네시나정,16389473.0,16389473.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,넥시움정,4523500.0,4523500.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,디아미크롱서방정,9696200.0,9696200.0,5,5,5,0,0,fail
2025-Q1,RC012,이서준,T02,로수젯정,50966964.0,50966964.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,록소르정,12144000.0,12144000.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,서스펜정,9919845.0,9919845.0,1,1,1,0,0,fail
2025-Q1,RC012,이서준,T02,세파클러캡슐,18236000.0,18236000.0,1,1,1,0,0,fail
2025-Q1,RC012,이서준,T02,아모잘탄정,55775103.0,55775103.0,5,5,5,0,0,fail
2025-Q1,RC012,이서준,T02,아토르바정,25915659.0,25915659.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,아토젯정,24225993.0,24225993.0,4,4,4,0,0,fail
2025-Q1,RC012,이서준,T02,엑스포지정,6834369.0,6834369.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,올메텍정,6760554.0,6760554.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,자누비아정,20340000.0,20340000.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,카나브정,14531196.0,14531196.0,5,5,5,0,0,fail
2025-Q1,RC012,이서준,T02,타미플루캡슐,2340500.0,2340500.0,3,3,3,0,0,fail
2025-Q1,RC012,이서준,T02,트라젠타정,996400.0,996400.0,1,1,1,0,0,fail
2025-Q1,RC012,이서준,T02,플라빅스정,27720000.0,27720000.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,가브스정,5512500.0,5512500.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,글루코파지정,23500.0,23500.0,1,1,1,0,0,fail
2025-Q1,RC013,최서윤,T02,네시나정,35750317.0,35750317.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,넥시움정,10820289.0,10820289.0,2,2,2,0,0,fail
2025-Q1,RC013,최서윤,T02,디아미크롱서방정,11528800.0,11528800.0,4,4,4,0,0,fail
2025-Q1,RC013,최서윤,T02,로수젯정,24819417.0,24819417.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,록소르정,7531200.0,7531200.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,리피토정,39829119.0,39829119.0,7,7,7,0,0,fail
2025-Q1,RC013,최서윤,T02,서스펜정,1311000.0,1311000.0,1,1,1,0,0,fail
2025-Q1,RC013,최서윤,T02,세파클러캡슐,8156000.0,8156000.0,4,4,4,0,0,fail
2025-Q1,RC013,최서윤,T02,아모잘탄정,15918813.0,15918813.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,아토르바정,19294246.0,19294246.0,9,9,9,0,0,fail
2025-Q1,RC013,최서윤,T02,아토젯정,2835000.0,2835000.0,2,2,2,0,0,fail
2025-Q1,RC013,최서윤,T02,엑스포지정,9306376.0,9306376.0,5,5,5,0,0,fail
2025-Q1,RC013,최서윤,T02,올메텍정,19139086.0,19139086.0,6,6,6,0,0,fail
2025-Q1,RC013,최서윤,T02,자누비아정,206072000.0,206072000.0,6,6,6,0,0,fail
2025-Q1,RC013,최서윤,T02,카나브정,11827221.0,11827221.0,6,6,6,0,0,fail
2025-Q1,RC013,최서윤,T02,타미플루캡슐,4738500.0,4738500.0,3,3,3,0,0,fail
2025-Q1,RC013,최서윤,T02,트라젠타정,8196800.0,8196800.0,6,6,6,0,0,fail
2025-Q1,RC013,최서윤,T02,플라빅스정,26964000.0,26964000.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,가브스정,44572368.0,44572368.0,8,8,8,0,0,fail
2025-Q1,RC014,윤은우,T02,글루코파지정,7371046.0,7371046.0,7,7,7,0,0,fail
2025-Q1,RC014,윤은우,T02,네시나정,34547699.0,34547699.0,5,5,5,0,0,fail
2025-Q1,RC014,윤은우,T02,넥시움정,15022336.0,15022336.0,4,4,4,0,0,fail
2025-Q1,RC014,윤은우,T02,디아미크롱서방정,694400.0,694400.0,1,1,1,0,0,fail
2025-Q1,RC014,윤은우,T02,로수젯정,29242131.0,29242131.0,4,4,4,0,0,fail
2025-Q1,RC014,윤은우,T02,록소르정,2253400.0,2253400.0,4,4,4,0,0,fail
2025-Q1,RC014,윤은우,T02,리피토정,6127839.0,6127839.0,4,4,4,0,0,fail
2025-Q1,RC014,윤은우,T02,서스펜정,10108173.0,10108173.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,세파클러캡슐,1372400.0,1372400.0,1,1,1,0,0,fail
2025-Q1,RC014,윤은우,T02,아모잘탄정,1740000.0,1740000.0,2,2,2,0,0,fail
2025-Q1,RC014,윤은우,T02,아토르바정,5404355.0,5404355.0,4,4,4,0,0,fail
2025-Q1,RC014,윤은우,T02,아토젯정,7872633.0,7872633.0,2,2,2,0,0,fail
2025-Q1,RC014,윤은우,T02,엑스포지정,7760000.0,7760000.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,올메텍정,17924389.0,17924389.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,자누비아정,5776000.0,5776000.0,1,1,1,0,0,fail
2025-Q1,RC014,윤은우,T02,카나브정,31701282.0,31701282.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,타미플루캡슐,6655300.0,6655300.0,3,3,3,0,0,fail
2025-Q1,RC014,윤은우,T02,트라젠타정,4493200.0,4493200.0,2,2,2,0,0,fail
2025-Q1,RC014,윤은우,T02,플라빅스정,22680000.0,22680000.0,3,3,3,0,0,fail
2025-Q1,RC015,윤민아,T02,가브스정,99534512.0,99534512.0,7,7,7,0,0,fail
