year (연도),rep_id (담당자ID),rep_name (담당자명),territory_code (영업권역코드),brand (브랜드),amount_pre_share (쉐어전금액),amount_post_share (쉐어후금액),ship_count (출고건수),share_applied_count (룰적용건수),direct_rules_count (직접룰건수),extended_rules_count (연장룰건수),none_rules_count (미적용건수),data_quality_flag (데이터품질플래그)
2025,RC002,김수아,T01,로수젯정,188123538.0,188123538.0,18,18,18,0,0,pass
2025,RC002,김수아,T01,록소르정,17488600.0,17488600.0,14,14,14,0,0,pass
2025,RC002,김수아,T01,리피토정,27171354.0,27171354.0,14,14,14,0,0,pass
2025,RC002,김수아,T01,서스펜정,42095145.0,42095145.0,15,15,15,0,0,pass
2025,RC002,김수아,T01,세파클러캡슐,27201000.0,27201000.0,9,9,9,0,0,pass
2025,RC002,김수아,T01,아모잘탄정,11282800.0,11282800.0,8,8,8,0,0,pass
2025,RC002,김수아,T01,아토르바정,17209246.0,17209246.0,7,7,7,0,0,pass
2025,RC002,김수아,T01,아토젯정,190953486.0,190953486.0,14,14,14,0,0,pass
2025,RC002,김수아,T01,엑스포지정,80345124.0,80345124.0,9,9,9,0,0,pass
2025,RC002,김수아,T01,올메텍정,27884214.0,27884214.0,12,12,12,0,0,pass
2025,RC002,김수아,T01,자누비아정,284850000.0,284850000.0,13,13,13,0,0,pass
2025,RC002,김수아,T01,카나브정,42289062.0,42289062.0,11,11,11,0,0,pass
2025,RC002,김수아,T01,타미플루캡슐,55137800.0,55137800.0,8,8,8,0,0,pass
2025,RC002,김수아,T01,트라젠타정,19909200.0,19909200.0,10,10,10,0,0,pass
2025,RC002,김수아,T01,플라빅스정,72576000.0,72576000.0,8,8,8,0,0,pass
2025,RC003,임동현,T01,가브스정,127284714.0,127284714.0,8,8,8,0,0,pass
2025,RC003,임동현,T01,글루코파지정,24308369.0,24308369.0,10,10,10,0,0,pass
2025,RC003,임동현,T01,네시나정,44577221.0,44577221.0,8,8,8,0,0,pass
2025,RC003,임동현,T01,넥시움정,40277405.0,40277405.0,11,11,11,0,0,pass
2025,RC003,임동현,T01,디아미크롱서방정,29953400.0,29953400.0,10,10,10,0,0,pass
2025,RC003,임동현,T01,로수젯정,161257290.0,161257290.0,20,20,20,0,0,pass
2025,RC003,임동현,T01,록소르정,29527600.0,29527600.0,14,14,14,0,0,pass
2025,RC003,임동현,T01,리피토정,35441388.0,35441388.0,15,15,15,0,0,pass
2025,RC003,임동현,T01,서스펜정,23018571.0,23018571.0,12,12,12,0,0,pass
2025,RC003,임동현,T01,세파클러캡슐,37209100.0,37209100.0,8,8,8,0,0,pass
2025,RC003,임동현,T01,아모잘탄정,81424376.0,81424376.0,12,12,12,0,0,pass
2025,RC003,임동현,T01,아토르바정,25797709.0,25797709.0,6,6,6,0,0,pass
2025,RC003,임동현,T01,아토젯정,109726047.0,109726047.0,11,11,11,0,0,pass
2025,RC003,임동현,T01,엑스포지정,130808419.0,130808419.0,13,13,13,0,0,pass
2025,RC003,임동현,T01,올메텍정,50002577.0,50002577.0,13,13,13,0,0,pass
2025,RC003,임동현,T01,자누비아정,239604000.0,239604000.0,11,11,11,0,0,pass
2025,RC003,임동현,T01,카나브정,73758579.0,73758579.0,10,10,10,0,0,pass
2025,RC003,임동현,T01,타미플루캡슐,86342100.0,86342100.0,7,7,7,0,0,pass
2025,RC003,임동현,T01,트라젠타정,36960800.0,36960800.0,20,20,20,0,0,pass
2025,RC003,임동현,T01,플라빅스정,116172000.0,116172000.0,11,11,11,0,0,pass
2025,RC004,장지훈,T01,가브스정,75484761.0,75484761.0,8,8,8,0,0,pass
2025,RC004,장지훈,T01,글루코파지정,38152141.0,38152141.0,9,9,9,0,0,pass
2025,RC004,장지훈,T01,네시나정,228703193.0,228703193.0,15,15,15,0,0,pass
2025,RC004,장지훈,T01,넥시움정,38956757.0,38956757.0,7,7,7,0,0,pass
2025,RC004,장지훈,T01,디아미크롱서방정,59829400.0,59829400.0,14,14,14,0,0,pass
2025,RC004,장지훈,T01,로수젯정,122349609.0,122349609.0,8,8,8,0,0,pass
2025,RC004,장지훈,T01,록소르정,7056800.0,7056800.0,6,6,6,0,0,pass
2025,RC004,장지훈,T01,리피토정,56432523.0,56432523.0,13,13,13,0,0,pass
2025,RC004,장지훈,T01,서스펜정,57523647.0,57523647.0,11,11,11,0,0,pass
2025,RC004,장지훈,T01,세파클러캡슐,75713700.0,75713700.0,10,10,10,0,0,pass
2025,RC004,장지훈,T01,아모잘탄정,78376898.0,78376898.0,11,11,11,0,0,pass
2025,RC004,장지훈,T01,아토르바정,8704400.0,8704400.0,8,8,8,0,0,pass
2025,RC004,장지훈,T01,아토젯정,92644254.0,92644254.0,11,11,11,0,0,pass
2025,RC004,장지훈,T01,엑스포지정,62683672.0,62683672.0,12,12,12,0,0,pass
2025,RC004,장지훈,T01,올메텍정,25636201.0,25636201.0,11,11,11,0,0,pass
2025,RC004,장지훈,T01,자누비아정,58716000.0,58716000.0,5,5,5,0,0,pass
2025,RC004,장지훈,T01,카나브정,26651463.0,26651463.0,9,9,9,0,0,pass
2025,RC004,장지훈,T01,타미플루캡슐,62929300.0,62929300.0,9,9,9,0,0,pass
2025,RC004,장지훈,T01,트라젠타정,15434800.0,15434800.0,8,8,8,0,0,pass
2025,RC004,장지훈,T01,플라빅스정,144900000.0,144900000.0,9,9,9,0,0,pass
2025,RC005,윤보민,T01,가브스정,34281068.0,34281068.0,4,4,4,0,0,pass
2025,RC005,윤보민,T01,글루코파지정,46777724.0,46777724.0,11,11,11,0,0,pass
2025,RC005,윤보민,T01,네시나정,26926283.0,26926283.0,7,7,7,0,0,pass
2025,RC005,윤보민,T01,넥시움정,66905728.0,66905728.0,11,11,11,0,0,pass
2025,RC005,윤보민,T01,디아미크롱서방정,29583200.0,29583200.0,9,9,9,0,0,pass
2025,RC005,윤보민,T01,로수젯정,109078305.0,109078305.0,9,9,9,0,0,pass
2025,RC005,윤보민,T01,록소르정,23654000.0,23654000.0,13,13,13,0,0,pass
2025,RC005,윤보민,T01,리피토정,66981207.0,66981207.0,11,11,11,0,0,pass
2025,RC005,윤보민,T01,서스펜정,73700580.0,73700580.0,13,13,13,0,0,pass
2025,RC005,윤보민,T01,세파클러캡슐,103865400.0,103865400.0,14,14,14,0,0,pass
2025,RC005,윤보민,T01,아모잘탄정,95140452.0,95140452.0,17,17,17,0,0,pass
2025,RC005,윤보민,T01,아토르바정,45046924.0,45046924.0,14,14,14,0,0,pass
2025,RC005,윤보민,T01,아토젯정,128321055.0,128321055.0,14,14,14,0,0,pass
2025,RC005,윤보민,T01,엑스포지정,46406170.0,46406170.0,12,12,12,0,0,pass
2025,RC005,윤보민,T01,올메텍정,26702554.0,26702554.0,9,9,9,0,0,pass
2025,RC005,윤보민,T01,자누비아정,177266000.0,177266000.0,13,13,13,0,0,pass
2025,RC005,윤보민,T01,카나브정,22856526.0,22856526.0,14,14,14,0,0,pass
2025,RC005,윤보민,T01,타미플루캡슐,44615900.0,44615900.0,13,13,13,0,0,pass
2025,RC005,윤보민,T01,트라젠타정,12784000.0,12784000.0,7,7,7,0,0,pass
2025,RC005,윤보민,T01,플라빅스정,177534000.0,177534000.0,13,13,13,0,0,pass
2025,RC006,정재훈,T01,가브스정,22471318.0,22471318.0,12,12,12,0,0,pass
2025,RC006,정재훈,T01,글루코파지정,61403455.0,61403455.0,14,14,14,0,0,pass
2025,RC006,정재훈,T01,네시나정,125837811.0,125837811.0,14,14,14,0,0,pass
2025,RC006,정재훈,T01,넥시움정,68059016.0,68059016.0,9,9,9,0,0,pass
2025,RC006,정재훈,T01,디아미크롱서방정,60694200.0,60694200.0,20,20,20,0,0,pass
2025,RC006,정재훈,T01,로수젯정,80489271.0,80489271.0,10,10,10,0,0,pass
2025,RC006,정재훈,T01,록소르정,17663600.0,17663600.0,9,9,9,0,0,pass
2025,RC006,정재훈,T01,리피토정,49132857.0,49132857.0,9,9,9,0,0,pass
2025,RC006,정재훈,T01,서스펜정,33285813.0,33285813.0,6,6,6,0,0,pass
2025,RC006,정재훈,T01,세파클러캡슐,70466600.0,70466600.0,9,9,9,0,0,pass
2025,RC006,정재훈,T01,아모잘탄정,102610049.0,102610049.0,14,14,14,0,0,pass
2025,RC006,정재훈,T01,아토르바정,34606305.0,34606305.0,17,17,17,0,0,pass
2025,RC006,정재훈,T01,아토젯정,151685685.0,151685685.0,14,14,14,0,0,pass
2025,RC006,정재훈,T01,엑스포지정,27779073.0,27779073.0,5,5,5,0,0,pass
2025,RC006,정재훈,T01,올메텍정,26654648.0,26654648.0,10,10,10,0,0,pass
2025,RC006,정재훈,T01,자누비아정,336534000.0,336534000.0,16,16,16,0,0,pass
2025,RC006,정재훈,T01,카나브정,63511275.0,63511275.0,11,11,11,0,0,pass
2025,RC006,정재훈,T01,타미플루캡슐,75108200.0,75108200.0,7,7,7,0,0,pass
2025,RC006,정재훈,T01,트라젠타정,25680800.0,25680800.0,12,12,12,0,0,pass
2025,RC006,정재훈,T01,플라빅스정,174006000.0,174006000.0,14,14,14,0,0,pass
2025,RC007,최건우,T01,가브스정,117104270.0,117104270.0,10,10,10,0,0,pass
2025,RC007,최건우,T01,글루코파지정,57816415.0,57816415.0,12,12,12,0,0,pass
2025,RC007,최건우,T01,네시나정,105775188.0,105775188.0,12,12,12,0,0,pass
2025,RC007,최건우,T01,넥시움정,84398759.0,84398759.0,15,15,15,0,0,pass
2025,RC007,최건우,T01,디아미크롱서방정,23834800.0,23834800.0,13,13,13,0,0,pass
2025,RC007,최건우,T01,로수젯정,81995241.0,81995241.0,12,12,12,0,0,pass
2025,RC007,최건우,T01,록소르정,30133400.0,30133400.0,15,15,15,0,0,pass
2025,RC007,최건우,T01,리피토정,82116615.0,82116615.0,17,17,17,0,0,pass
2025,RC007,최건우,T01,서스펜정,60826152.0,60826152.0,20,20,20,0,0,pass
2025,RC007,최건우,T01,세파클러캡슐,50143500.0,50143500.0,7,7,7,0,0,pass
2025,RC007,최건우,T01,아모잘탄정,48081094.0,48081094.0,15,15,15,0,0,pass
2025,RC007,최건우,T01,아토르바정,38106408.0,38106408.0,12,12,12,0,0,pass
2025,RC007,최건우,T01,아토젯정,159737553.0,159737553.0,13,13,13,0,0,pass
2025,RC007,최건우,T01,엑스포지정,51931367.0,51931367.0,10,10,10,0,0,pass
2025,RC007,최건우,T01,올메텍정,11634953.0,11634953.0,11,11,11,0,0,pass
2025,RC007,최건우,T01,자누비아정,148120000.0,148120000.0,13,13,13,0,0,pass
2025,RC007,최건우,T01,카나브정,22860729.0,22860729.0,9,9,9,0,0,pass
2025,RC007,최건우,T01,타미플루캡슐,34415100.0,34415100.0,16,16,16,0,0,pass
2025,RC007,최건우,T01,트라젠타정,25812400.0,25812400.0,11,11,11,0,0,pass
2025,RC007,최건우,T01,플라빅스정,161532000.0,161532000.0,12,12,12,0,0,pass
2025,RC008,류예린,T01,가브스정,40484061.0,40484061.0,9,9,9,0,0,pass
2025,RC008,류예린,T01,글루코파지정,40224631.0,40224631.0,10,10,10,0,0,pass
2025,RC008,류예린,T01,네시나정,97048467.0,97048467.0,9,9,9,0,0,pass
2025,RC008,류예린,T01,넥시움정,43930932.0,43930932.0,11,11,11,0,0,pass
2025,RC008,류예린,T01,디아미크롱서방정,30661800.0,30661800.0,9,9,9,0,0,pass
2025,RC008,류예린,T01,로수젯정,163674288.0,163674288.0,13,13,13,0,0,pass
2025,RC008,류예린,T01,록소르정,25379200.0,25379200.0,15,15,15,0,0,pass
2025,RC008,류예린,T01,리피토정,46926615.0,46926615.0,11,11,11,0,0,pass
2025,RC008,류예린,T01,서스펜정,33436857.0,33436857.0,10,10,10,0,0,pass
2025,RC008,류예린,T01,세파클러캡슐,20375800.0,20375800.0,8,8,8,0,0,pass
2025,RC008,류예린,T01,아모잘탄정,100657754.0,100657754.0,13,13,13,0,0,pass
2025,RC008,류예린,T01,아토르바정,21969370.0,21969370.0,8,8,8,0,0,pass
2025,RC008,류예린,T01,아토젯정,208314504.0,208314504.0,14,14,14,0,0,pass
2025,RC008,류예린,T01,엑스포지정,102544018.0,102544018.0,10,10,10,0,0,pass
2025,RC008,류예린,T01,올메텍정,42748537.0,42748537.0,9,9,9,0,0,pass
2025,RC008,류예린,T01,자누비아정,209354000.0,209354000.0,13,13,13,0,0,pass
2025,RC008,류예린,T01,카나브정,23911218.0,23911218.0,8,8,8,0,0,pass
2025,RC008,류예린,T01,타미플루캡슐,75915100.0,75915100.0,13,13,13,0,0,pass
2025,RC008,류예린,T01,트라젠타정,21902000.0,21902000.0,14,14,14,0,0,pass
2025,RC008,류예린,T01,플라빅스정,114030000.0,114030000.0,9,9,9,0,0,pass
2025,RC009,박재원,T01,가브스정,53848351.0,53848351.0,8,8,8,0,0,pass
2025,RC009,박재원,T01,글루코파지정,44901088.0,44901088.0,11,11,11,0,0,pass
2025,RC009,박재원,T01,네시나정,125999348.0,125999348.0,11,11,11,0,0,pass
2025,RC009,박재원,T01,넥시움정,41538370.0,41538370.0,16,16,16,0,0,pass
2025,RC009,박재원,T01,디아미크롱서방정,15755600.0,15755600.0,6,6,6,0,0,pass
2025,RC009,박재원,T01,로수젯정,119543874.0,119543874.0,11,11,11,0,0,pass
2025,RC009,박재원,T01,록소르정,27624400.0,27624400.0,12,12,12,0,0,pass
2025,RC009,박재원,T01,리피토정,38594256.0,38594256.0,8,8,8,0,0,pass
2025,RC009,박재원,T01,서스펜정,34341831.0,34341831.0,11,11,11,0,0,pass
2025,RC009,박재원,T01,세파클러캡슐,44919500.0,44919500.0,11,11,11,0,0,pass
2025,RC009,박재원,T01,아모잘탄정,63453231.0,63453231.0,15,15,15,0,0,pass
2025,RC009,박재원,T01,아토르바정,5223600.0,5223600.0,5,5,5,0,0,pass
2025,RC009,박재원,T01,아토젯정,67107339.0,67107339.0,8,8,8,0,0,pass
2025,RC009,박재원,T01,엑스포지정,56786356.0,56786356.0,10,10,10,0,0,pass
2025,RC009,박재원,T01,올메텍정,31509897.0,31509897.0,8,8,8,0,0,pass
2025,RC009,박재원,T01,자누비아정,265854000.0,265854000.0,13,13,13,0,0,pass
2025,RC009,박재원,T01,카나브정,44601372.0,44601372.0,8,8,8,0,0,pass
2025,RC009,박재원,T01,타미플루캡슐,70035400.0,70035400.0,12,12,12,0,0,pass
2025,RC009,박재원,T01,트라젠타정,27429200.0,27429200.0,14,14,14,0,0,pass
2025,RC009,박재원,T01,플라빅스정,205758000.0,205758000.0,16,16,16,0,0,pass
2025,RC010,권승현,T02,가브스정,86307230.0,86307230.0,17,17,17,0,0,pass
2025,RC010,권승현,T02,글루코파지정,10081166.0,10081166.0,13,13,13,0,0,pass
2025,RC010,권승현,T02,네시나정,96354285.0,96354285.0,16,16,16,0,0,pass
2025,RC010,권승현,T02,넥시움정,57463039.0,57463039.0,14,14,14,0,0,pass
2025,RC010,권승현,T02,디아미크롱서방정,40151000.0,40151000.0,17,17,17,0,0,pass
2025,RC010,권승현,T02,로수젯정,83503557.0,83503557.0,10,10,10,0,0,pass
2025,RC010,권승현,T02,록소르정,18910600.0,18910600.0,12,12,12,0,0,pass
2025,RC010,권승현,T02,리피토정,33242451.0,33242451.0,13,13,13,0,0,pass
2025,RC010,권승현,T02,서스펜정,63205002.0,63205002.0,13,13,13,0,0,pass
2025,RC010,권승현,T02,세파클러캡슐,48364800.0,48364800.0,11,11,11,0,0,pass
2025,RC010,권승현,T02,아모잘탄정,153580724.0,153580724.0,18,18,18,0,0,pass
2025,RC010,권승현,T02,아토르바정,23293376.0,23293376.0,9,9,9,0,0,pass
2025,RC010,권승현,T02,아토젯정,101389464.0,101389464.0,14,14,14,0,0,pass
2025,RC010,권승현,T02,엑스포지정,24851907.0,24851907.0,8,8,8,0,0,pass
2025,RC010,권승현,T02,올메텍정,67510027.0,67510027.0,24,24,24,0,0,pass
2025,RC010,권승현,T02,자누비아정,256658000.0,256658000.0,14,14,14,0,0,pass
2025,RC010,권승현,T02,카나브정,115757163.0,115757163.0,18,18,18,0,0,pass
2025,RC010,권승현,T02,타미플루캡슐,122773100.0,122773100.0,20,20,20,0,0,pass
2025,RC010,권승현,T02,트라젠타정,30230400.0,30230400.0,13,13,13,0,0,pass
2025,RC010,권승현,T02,플라빅스정,206766000.0,206766000.0,19,19,19,0,0,pass
2025,RC011,이주원,T02,가브스정,140915829.0,140915829.0,14,14,14,0,0,pass
2025,RC011,이주원,T02,글루코파지정,26937504.0,26937504.0,12,12,12,0,0,pass
2025,RC011,이주원,T02,네시나정,84802363.0,84802363.0,10,10,10,0,0,pass
2025,RC011,이주원,T02,넥시움정,113657563.0,113657563.0,22,22,22,0,0,pass
2025,RC011,이주원,T02,디아미크롱서방정,41693000.0,41693000.0,14,14,14,0,0,pass
2025,RC011,이주원,T02,로수젯정,157443594.0,157443594.0,12,12,12,0,0,pass
2025,RC011,이주원,T02,록소르정,46702200.0,46702200.0,17,17,17,0,0,pass
2025,RC011,이주원,T02,리피토정,44570220.0,44570220.0,12,12,12,0,0,pass
2025,RC011,이주원,T02,서스펜정,27095070.0,27095070.0,11,11,11,0,0,pass
2025,RC011,이주원,T02,세파클러캡슐,53416300.0,53416300.0,10,10,10,0,0,pass
2025,RC011,이주원,T02,아모잘탄정,72500733.0,72500733.0,12,12,12,0,0,pass
2025,RC011,이주원,T02,아토르바정,66249581.0,66249581.0,10,10,10,0,0,pass
2025,RC011,이주원,T02,아토젯정,141883920.0,141883920.0,15,15,15,0,0,pass
2025,RC011,이주원,T02,엑스포지정,108328361.0,108328361.0,17,17,17,0,0,pass
2025,RC011,이주원,T02,올메텍정,38997913.0,38997913.0,15,15,15,0,0,pass
2025,RC011,이주원,T02,자누비아정,198734000.0,198734000.0,18,18,18,0,0,pass
2025,RC011,이주원,T02,카나브정,37193175.0,37193175.0,8,8,8,0,0,pass
2025,RC011,이주원,T02,타미플루캡슐,209913700.0,209913700.0,19,19,19,0,0,pass
2025,RC011,이주원,T02,트라젠타정,36340400.0,36340400.0,18,18,18,0,0,pass
2025,RC011,이주원,T02,플라빅스정,246582000.0,246582000.0,18,18,18,0,0,pass
2025,RC012,이서준,T02,가브스정,203758077.0,203758077.0,20,20,20,0,0,pass
2025,RC012,이서준,T02,글루코파지정,41491423.0,41491423.0,16,16,16,0,0,pass
2025,RC012,이서준,T02,네시나정,52560042.0,52560042.0,11,11,11,0,0,pass
2025,RC012,이서준,T02,넥시움정,23343430.0,23343430.0,13,13,13,0,0,pass
2025,RC012,이서준,T02,디아미크롱서방정,32911000.0,32911000.0,15,15,15,0,0,pass
2025,RC012,이서준,T02,로수젯정,96624264.0,96624264.0,8,8,8,0,0,pass
2025,RC012,이서준,T02,록소르정,29578600.0,29578600.0,12,12,12,0,0,pass
2025,RC012,이서준,T02,리피토정,30414354.0,30414354.0,8,8,8,0,0,pass
2025,RC012,이서준,T02,서스펜정,48418002.0,48418002.0,12,12,12,0,0,pass
2025,RC012,이서준,T02,세파클러캡슐,60522600.0,60522600.0,8,8,8,0,0,pass
2025,RC012,이서준,T02,아모잘탄정,93217498.0,93217498.0,17,17,17,0,0,pass
2025,RC012,이서준,T02,아토르바정,64730093.0,64730093.0,17,17,17,0,0,pass
2025,RC012,이서준,T02,아토젯정,135168462.0,135168462.0,15,15,15,0,0,pass
2025,RC012,이서준,T02,엑스포지정,86176721.0,86176721.0,15,15,15,0,0,pass
2025,RC012,이서준,T02,올메텍정,100556078.0,100556078.0,21,21,21,0,0,pass
2025,RC012,이서준,T02,자누비아정,145772000.0,145772000.0,11,11,11,0,0,pass
2025,RC012,이서준,T02,카나브정,39844146.0,39844146.0,11,11,11,0,0,pass
2025,RC012,이서준,T02,타미플루캡슐,83200900.0,83200900.0,18,18,18,0,0,pass
2025,RC012,이서준,T02,트라젠타정,18386400.0,18386400.0,10,10,10,0,0,pass
2025,RC012,이서준,T02,플라빅스정,175644000.0,175644000.0,16,16,16,0,0,pass
2025,RC013,최서윤,T02,가브스정,66893983.0,66893983.0,13,13,13,0,0,pass
2025,RC013,최서윤,T02,글루코파지정,28494067.0,28494067.0,13,13,13,0,0,pass
2025,RC013,최서윤,T02,네시나정,126390014.0,126390014.0,17,17,17,0,0,pass
2025,RC013,최서윤,T02,넥시움정,89205234.0,89205234.0,11,11,11,0,0,pass
2025,RC013,최서윤,T02,디아미크롱서방정,48414600.0,48414600.0,12,12,12,0,0,pass
2025,RC013,최서윤,T02,로수젯정,78157773.0,78157773.0,8,8,8,0,0,pass
2025,RC013,최서윤,T02,록소르정,34593800.0,34593800.0,18,18,18,0,0,pass
2025,RC013,최서윤,T02,리피토정,83816988.0,83816988.0,20,20,20,0,0,pass
2025,RC013,최서윤,T02,서스펜정,69740238.0,69740238.0,9,9,9,0,0,pass
2025,RC013,최서윤,T02,세파클러캡슐,52488300.0,52488300.0,17,17,17,0,0,pass
2025,RC013,최서윤,T02,아모잘탄정,60404854.0,60404854.0,10,10,10,0,0,pass
2025,RC013,최서윤,T02,아토르바정,76596029.0,76596029.0,22,22,22,0,0,pass
2025,RC013,최서윤,T02,아토젯정,83669697.0,83669697.0,10,10,10,0,0,pass
2025,RC013,최서윤,T02,엑스포지정,75125068.0,75125068.0,19,19,19,0,0,pass
2025,RC013,최서윤,T02,올메텍정,61331693.0,61331693.0,18,18,18,0,0,pass
2025,RC013,최서윤,T02,자누비아정,340370000.0,340370000.0,17,17,17,0,0,pass
2025,RC013,최서윤,T02,카나브정,48820626.0,48820626.0,17,17,17,0,0,pass
2025,RC013,최서윤,T02,타미플루캡슐,132686100.0,132686100.0,15,15,15,0,0,pass
2025,RC013,최서윤,T02,트라젠타정,15961200.0,15961200.0,11,11,11,0,0,pass
2025,RC013,최서윤,T02,플라빅스정,228816000.0,228816000.0,16,16,16,0,0,pass
2025,RC014,윤은우,T02,가브스정,111341376.0,111341376.0,16,16,16,0,0,pass
2025,RC014,윤은우,T02,글루코파지정,68221004.0,68221004.0,21,21,21,0,0,pass
2025,RC014,윤은우,T02,네시나정,71163877.0,71163877.0,11,11,11,0,0,pass
2025,RC014,윤은우,T02,넥시움정,103606270.0,103606270.0,13,13,13,0,0,pass
2025,RC014,윤은우,T02,디아미크롱서방정,27869600.0,27869600.0,15,15,15,0,0,pass
2025,RC014,윤은우,T02,로수젯정,167121591.0,167121591.0,15,15,15,0,0,pass
2025,RC014,윤은우,T02,록소르정,27597400.0,27597400.0,16,16,16,0,0,pass
2025,RC014,윤은우,T02,리피토정,40637256.0,40637256.0,13,13,13,0,0,pass
2025,RC014,윤은우,T02,서스펜정,36166344.0,36166344.0,13,13,13,0,0,pass
2025,RC014,윤은우,T02,세파클러캡슐,51903900.0,51903900.0,12,12,12,0,0,pass
2025,RC014,윤은우,T02,아모잘탄정,73771534.0,73771534.0,14,14,14,0,0,pass
2025,RC014,윤은우,T02,아토르바정,32258604.0,32258604.0,17,17,17,0,0,pass
2025,RC014,윤은우,T02,아토젯정,81845298.0,81845298.0,12,12,12,0,0,pass
2025,RC014,윤은우,T02,엑스포지정,104965642.0,104965642.0,16,16,16,0,0,pass
2025,RC014,윤은우,T02,올메텍정,64751671.0,64751671.0,17,17,17,0,0,pass
2025,RC014,윤은우,T02,자누비아정,144974000.0,144974000.0,12,12,12,0,0,pass
2025,RC014,윤은우,T02,카나브정,68059668.0,68059668.0,13,13,13,0,0,pass
2025,RC014,윤은우,T02,타미플루캡슐,75235300.0,75235300.0,12,12,12,0,0,pass
2025,RC014,윤은우,T02,트라젠타정,34874000.0,34874000.0,14,14,14,0,0,pass
2025,RC014,윤은우,T02,플라빅스정,168462000.0,168462000.0,12,12,12,0,0,pass
2025,RC015,윤민아,T02,가브스정,165642290.0,165642290.0,16,16,16,0,0,pass
2025,RC015,윤민아,T02,글루코파지정,34196725.0,34196725.0,9,9,9,0,0,pass
2025,RC015,윤민아,T02,네시나정,209445651.0,209445651.0,24,24,24,0,0,pass
2025,RC015,윤민아,T02,넥시움정,50550667.0,50550667.0,15,15,15,0,0,pass
2025,RC015,윤민아,T02,디아미크롱서방정,55455400.0,55455400.0,16,16,16,0,0,pass
2025,RC015,윤민아,T02,로수젯정,216760731.0,216760731.0,20,20,20,0,0,pass
2025,RC015,윤민아,T02,록소르정,36995800.0,36995800.0,16,16,16,0,0,pass
2025,RC015,윤민아,T02,리피토정,37223373.0,37223373.0,8,8,8,0,0,pass
2025,RC015,윤민아,T02,서스펜정,71887908.0,71887908.0,15,15,15,0,0,pass
2025,RC015,윤민아,T02,세파클러캡슐,35537300.0,35537300.0,6,6,6,0,0,pass
2025,RC015,윤민아,T02,아모잘탄정,66226158.0,66226158.0,15,15,15,0,0,pass
2025,RC015,윤민아,T02,아토르바정,42802255.0,42802255.0,19,19,19,0,0,pass
2025,RC015,윤민아,T02,아토젯정,228598434.0,228598434.0,15,15,15,0,0,pass
2025,RC015,윤민아,T02,엑스포지정,86499952.0,86499952.0,14,14,14,0,0,pass
2025,RC015,윤민아,T02,올메텍정,59600470.0,59600470.0,16,16,16,0,0,pass
2025,RC015,윤민아,T02,자누비아정,223760000.0,223760000.0,18,18,18,0,0,pass
2025,RC015,윤민아,T02,카나브정,68895747.0,68895747.0,11,11,11,0,0,pass
